Author,Text
Trump,Today we express our deepest gratitude to all those who have served in our armed forces. #ThankAVet https://t.co/wPk7QWpK8Z
Trump,Busy day planned in New York. Will soon be making some very important decisions on the people who will be running our government!
Trump,Love the fact that the small groups of protesters last night have passion for our great country. We will all come together and be proud!
Trump,"Just had a very open and successful presidential election. Now professional protesters, incited by the media, are protesting. Very unfair!"
Trump,"A fantastic day in D.C. Met with President Obama for first time. Really good meeting, great chemistry. Melania liked Mrs. O a lot!"
Trump,Happy 241st birthday to the U.S. Marine Corps! Thank you for your service!! https://t.co/Lz2dhrXzo4
Trump,Such a beautiful and important evening! The forgotten man and woman will never be forgotten again. We will all come together as never before
Trump,"Watching the returns at 9:45pm.
#ElectionNight #MAGA__ https://t.co/HfuJeRZbod"
Trump,RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2_
Trump,RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:_
Trump,RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht_
Trump,"Still time to #VoteTrump!
#iVoted #ElectionNight https://t.co/UZtYAY1Ba6"
Trump,"Dont let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!"
Trump,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country"""
Trump,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!
Trump,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21
Trump,We need your vote. Go to the POLLS! Lets continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1_ https://t.co/zGOx74Ebhw
Trump,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!_ https://t.co/KPQ5EY9VwQ
Trump,TODAY WE MAKE AMERICA GREAT AGAIN!
Trump,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!_ https://t.co/onRpEvzHrW
Trump,"RT @EricTrump: Sean Hannity: If Hillary wins, you own it https://t.co/kQCwX3ttjK"
Trump,"RT @DonaldJTrumpJr: Thanks New Hampshire!!!
#NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk"
Trump,RT @detroitnews: .@IvankaTrump in Michigan: This is your movement۪ https://t.co/0Sa7huoOP1  @realDonaldTrump https://t.co/cMXEqSHuDj
Trump,"Unbelievable evening in New Hampshire - THANK YOU! Flying to Grand Rapids, Michigan now.
Watch NH rally here:_ https://t.co/hP88anrfgk"
Trump,Big news to share in New Hampshire tonight! Polls looking great! See you soon.
Trump,"Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw"
Trump,Thank you Pennsylvania! Going to New Hampshire now and on to Michigan. Watch PA rally here: https://t.co/d29DLINGst_ https://t.co/zcH9crFIKM
Trump,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU
Trump,Hey Missouri lets defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!
Trump,"America must decide between failed policies or fresh perspective, a corrupt system or an outsider
https://t.co/ll8QIW9SqW"
Trump,"What I Like About Trump ... and Why You Need to Vote for Him
https://t.co/6rVuDUehZq"
Trump,Why Trump https://t.co/RpwIYB7aOV
Trump,"I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!
Watch:_ https://t.co/jZzfqUZNYh"
Trump,On my way! https://t.co/6L2ILD6r8h
Trump,Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y
Trump,"Starting tomorrow its going to be #AmericaFirst! Thank you for a great morning Sarasota, Florida!
Watch here:_ https://t.co/ig62Kjkkvl"
Trump,Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm
Trump,Thank you Pennsylvania- I am forever grateful for your amazing support. Lets MAKE AMERICA GREAT AGAIN! #MAGA_ https://t.co/qbcJZAzw6z
Trump,Thank you Michigan! This is a MOVEMENT that will never be seen again- its our last chance to #DrainTheSwamp! Watch_ https://t.co/cSdGkCFYRL
Trump,"Our American comeback story begins 11/8/16. Together, we will MAKE AMERICA SAFE &amp; GREAT again for everyone! Watch:_ https://t.co/ek8Cn3CgTr"
Trump,"Thank you Minnesota! It is time to #DrainTheSwamp &amp; #MAGA!
#ICYMI- watch: https://t.co/fVThC7yIL6 https://t.co/e8SaXiJrxj"
Trump,"MONDAY - 11/7/2016

Scranton, Pennsylvania at 5:30pm.
https://t.co/BcErCtsPdF

Grand Rapids, Michigan at 11pm._ https://t.co/pgFMLp0173"
Trump,"Thank you Iowa - Get out &amp; #VoteTrumpPence16!
https://t.co/HfihPERFgZ https://t.co/QsukELQmKb"
Trump,RT @IvankaTrump: Thank you New Hampshire! __ https://t.co/pdnxXq2jgy
Trump,Van Jones: There Is A Crack in the Blue Wall۪  It Has to Do With Trade: https://t.co/BvEF9cC7o7
Trump,"Great night in Denver, Colorado- thank you! Together, we will MAKE AMERICA GREAT AGAIN!
#ICYMI watch rally here:_ https://t.co/LbvNHo6T2k"
Trump,"RT @DanScavino: Join @realDonaldTrump LIVE in Denver, Colorado via his #Facebook page- we are here!!
#MakeAmericaGreatAgain__
https://t.c_"
Trump,"Thank you Reno, Nevada.
NOTHING will stop us in our quest to MAKE AMERICA SAFE AND GREAT AGAIN! #AmericaFirst_ https://t.co/A4eeHoCbGS"
Trump,"Join me live in Reno, Nevada!
https://t.co/T4bf1hrxaA https://t.co/EPqRXHa1CM"
Trump,"JOIN ME TOMORROW!
MINNESOTA ۢ 2pm
https://t.co/WcgLh4prS7

MICHIGAN ۢ 6pm
https://t.co/9BqGVKNNrt

VIRGINIA ۢ 9:30p_ https://t.co/A1oVhCrT6t"
Trump,"#DrainTheSwamp!
https://t.co/z68vGp9Bvf"
Trump,"Top Clinton Aides Bemoan Campaign All Tactics,۪ No Vision: https://t.co/mHYvQtIq78"
Trump,"Must Act Immediately۪: Clinton Charity Lawyer Told Execs They Were Breaking The Law
https://t.co/hsi4qhqTV1"
Trump,Watch Coach Mike Ditka- a great guy and supporter tonight at 8pmE on #WattersWorld with @jessebwatters @FoxNews.
Trump,"Thank you Wilmington, North Carolina. We are 3 days away from the CHANGE youve been waiting for your entire life!_ https://t.co/6ZJZRBfLST"
Trump,"Thank you for the incredible support this morning Tampa, Florida! #ICYMI- watch here: https://t.co/q43kHf7MoE https://t.co/1GscFNaV4L"
Trump,"Join me in Denver, Colorado tonight at 9:30pm: https://t.co/LJYGIK7Mri

NEW- Scranton, Pennsylvania Monday @ 5:30pm: https://t.co/BcErCtsPdF"
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,MAKE AMERICA GREAT AGAIN!
Trump,"Thank you Hershey, Pennsylvania. Get out &amp; VOTE on November 8th &amp; we will #MAGA! #RallyForRiley
#ICYMI, watch here_ https://t.co/maWukVBTr8"
Trump,"Join me in Denver, Colorado tomorrow at 9:30pm!
Tickets: https://t.co/LJYGIK7Mri"
Trump,"Join me live in Hershey, Pennsylvania!
#MakeAmericaGreatAgain
LIVE: https://t.co/xEj6sZpb12 https://t.co/JWfGI1vlwW"
Trump,The only thing that can stop this corrupt machine is YOU. The only force strong enough to save our country is US._ https://t.co/7dcSHOkuzc
Trump,Thank you Ohio! VOTE so we can replace Obamacare and save healthcare for every family in the United States! Watch:_ https://t.co/7CH8ZnGdOa
Trump,"Join me live in Wilmington, Ohio!
https://t.co/nQ2p4EulLu"
Trump,"If Obama worked as hard on straightening out our country as he has trying to protect and elect Hillary, we would all be much better off!"
Trump,"ICE OFFICERS WARN HILLARY IMMIGRATION PLAN WILL UNLEASH GANGS, CARTELS &amp; DRUG VIOLENCE NATIONWIDE_ https://t.co/09aSrBwQrv"
Trump,"Thank you NH! We will end illegal immigration, stop the drugs, deport all criminal aliens&amp;save American lives! Watc_ https://t.co/uxcazVkb32"
Trump,"Clinton Aides: Definitely۪ Not Releasing Some HRC Emails:
https://t.co/GY5pGKaDoW"
Trump,RT @TeamTrump: Mrs. Sauciers son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE &amp; is runnin_
Trump,"""The Clinton Campaign at Obama Justice"" #DrainTheSwamp
https://t.co/LZkvFc071z"
Trump,"Join me today in Wilmington, Ohio at 4pm: https://t.co/eCLECMkYLw

Tomorrow- Tampa, Florida at 10am: https://t.co/N9380pVmuM"
