Text,Author
"Beyond a common joy, and set it down",Shakespeare
Which aptly sings the good.',Shakespeare
"""@Indies4Trump: Vote Early in the #LoneStarState #SuperTuesday @realDonaldTrump will #MakeAmericaGreatAgain https://t.co/GC8kmWFxoM""",Trump
To excel the golden age.,Shakespeare
"For whom, and not for Tybalt, Juliet pined.",Shakespeare
"Save thou the child, so we may all be safe.",Shakespeare
"The midwife and the nurse well made away,",Shakespeare
Commend my best obedience to the queen:,Shakespeare
This is an outrage! Bias-Free Language Guide claims the word American is problematic -- WHAT?!  http://t.co/vKz8a0ICGs,Trump
More fierce and more inexorable far,Shakespeare
So infinitely endear'd--,Shakespeare
Has made thee swell thus.,Shakespeare
RT @IngrahamAngle: The #CruzCrew prevailed! Smart for @MarcoRubio to keep his speech short &amp; sweet. Ditto for @realDonaldTrump who was brie_,Trump
"We have, great Agamemnon, here in Troy",Shakespeare
"I am greatly honored to receive Sarah Palins endorsement tonight.
Video: https://t.co/4P7AMKI4iq https://t.co/bjTPvwM4nW",Trump
"The powers, delaying, not forgetting, have",Shakespeare
"Landing in New Hampshire soon to talk about the massive drug problem there, and all over the country.",Trump
"""@Rketeltas: @realDonaldTrump If you combine the business models for both Macys &amp; the NY Times, both are on a rapid decline, such a pity.""",Trump
"I just released my financial disclosure forms, the largest numbers in the history of the F.E.C. Even the dishonest media thinks great!",Trump
"Which when he has a house, he'll deck withal",Shakespeare
Re-enter THURIO,Shakespeare
"More dregs than water, if my fears have eyes.",Shakespeare
Thou wondrous man.,Shakespeare
"affectionately to you,--",Shakespeare
Ha! known!,Shakespeare
Which entered their frail shins: at last I left them,Shakespeare
"I am sick of that grief too, as I understand how all",Shakespeare
A fustian riddle!,Shakespeare
He that would vouch it in any place but here.,Shakespeare
"Heading now to Pella, Iowa. Big crowd! Remember, Trump is a big buyer of Pella windows. See you soon!",Trump
"O, if a virgin,",Shakespeare
"by the lesser legs: if any be Trinculo's legs,",Shakespeare
"folly! I am afraid this great lubber, the world,",Shakespeare
Per @rushlimbaugh: Why does Hillary Clinton get the benefit of the doubt (after she DESTROYS her illegal email server) ...,Trump
What my estate is!,Shakespeare
"Seal up the mouth of outrage for a while,",Shakespeare
Strike a free march to Troy! with comfort go:,Shakespeare
"""@GinHay: Trumps polls are going to skyrocket after appearance on @jimmyfallon tonight. The young people are going to love him!""",Trump
"Though they are made and moulded of things past,",Shakespeare
"""@Hturne: @realDonaldTrump vets tired of McCain using them as talking points and photo ops, AND NOTHING BEING DONE.""",Trump
are almost set in thy head.,Shakespeare
"You would think a paper like the Washington Post would be fair and objective. For the record, almost all polls showed I won all debates.",Trump
"While Bernie has totally given up on his fight for the people, we welcome all voters who want a better future for our workers.",Trump
Moves in this lip! to the dumbness of the gesture,Shakespeare
It is my father's will I should take on me,Shakespeare
That I assure you:,Shakespeare
SCENE I. On a ship at sea: a tempestuous noise,Shakespeare
I am gone for ever.,Shakespeare
Owe their estates unto him.,Shakespeare
That tide will stay me longer than I should.,Shakespeare
"Of its own kind, all foison, all abundance,",Shakespeare
"ALONSO, SEBASTIAN  and c. draw their swords",Shakespeare
"Her father's liking: which to bring to pass,",Shakespeare
Have I not heard the sea puff'd up with winds,Shakespeare
"Master, you look'd so longly on the maid,",Shakespeare
We'll both attend upon your ladyship.,Shakespeare
"RT @DanScavino: .@NikkiHaley in 2012 w/ Romney on tax returns__(political ploy.) Fast forward..2016 w/ Robot Rubio__
#FAIL__#Politician https:_",Trump
"The villain is alive in Titus' house,",Shakespeare
"And so have I, boy.",Shakespeare
.@Franklin_Graham @BillyNungesser @SamaritansPurse- so humbled by my time w/ you. You are in our thoughts &amp; prayers. https://t.co/I6xGsEzlwv,Trump
difference betwixt our Bohemia and your Sicilia.,Shakespeare
In vain! his service done,Shakespeare
Will be here with mop and mow.,Shakespeare
"Thank you to Tom Brady, Coach Ditka, Coach Bobby Knight and all of the many champions that have been so supportive!",Trump
"Your mind from feasting. Sooth, when I was young",Shakespeare
Art not thou the Lady Olivia's fool?,Shakespeare
Enter SIR ANDREW,Shakespeare
"O, peace, peace!",Shakespeare
"Why, what a caterwauling dost thou keep!",Shakespeare
It is in mine authority to command,Shakespeare
"Kate of Kate Hall, my super-dainty Kate,",Shakespeare
"beguile thee, if thou wert the lamb, the fox would",Shakespeare
great eater of beef and I believe that does harm to my wit.,Shakespeare
And taste Lord Timon's bounty? he outgoes,Shakespeare
"Mopsa must be your mistress: marry, garlic,",Shakespeare
"She said thou wast my daughter, and thy father",Shakespeare
"Ay, my good lord, I know the gentleman",Shakespeare
Fetch in our wood and serves in offices,Shakespeare
And to the nightingale's complaining notes,Shakespeare
